"Pricing Group","Name","Tier","Credits Included","Cost per Unit","Billing"
"PAYG","Copilot Credits Pay-as-you-Go","Standard","1","0.01","Monthly"
"MESSAGE_PACK","Copilot Message Capacity Pack","Standard","20000","200","Monthly"
"CopilotP3","Copilot P3 Reservation","Tier 1","300000","2850","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 2","1500000","14100","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 3","3000000","27900","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 4","15000000","138000","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 5","30000000","270000","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 6","75000000","660000","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 7","150000000","1290000","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 8","225000000","1867500","Yearly"
"CopilotP3","Copilot P3 Reservation","Tier 9","300000000","2400000","Yearly"
